row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
802	kombini	word_choice_zh:8	{Ｂ}［他］組み合わせる, 結合する; 組み立てる, 案配する; 【化】化合させる	组合，结合，配合；化合；草拟，拟订	결합하거나 조합하여 하나로 만들다	8	0
803	komedio	balanced	{Ｂ}喜劇, コメディー, ><〜; 《転》茶番, 見せかけの芝居, >>farso	喜剧；《转》闹剧，做作	희극, 《전》어처구니없는 짓	1	1
811	komo	balanced	{Ｂ}コンマ, 読点; 【数】小数点; 【情】コンマ（，）	逗号；（数）小数点	콤마, 쉼표；（수학） 소수점	1	1
812	kompanio	scope_ko:6	{Ｂ}会社; （集合的に）仲間, 一同, （同伴者）一行	合股，合伙；公司；结伴	상업을 목적으로 한 회사	0	6
815	kompetenta	scope_ko:8	{Ｂ}適任の, 有能な, 資格のある; 権限のある, 所管の, 管轄の	能干的，有能力的，有专长的，能胜任的	유능하고 자격을 갖춘	0	8
819	kompreni	balanced	{Ｂ}［他］理解する, わかる; 了解する, 納得する; 精通している	理解	이해하다	1	1
820	komuna	scope_zh:6	{Ｂ}共通の, 共有の, 共同の; 一般の, 普通の	公共，共同	공통의, 공동의	6	0
821	komuniki	scope_ko:6	{Ｂ}［他］伝える, 伝達する, 知らせる	沟通，传达，通知；（房间等）相通	전달하다, 소통하다	0	6
824	koncerto	scope_zh:5	{Ｂ}【楽】コンサート, 演奏会, 音楽会; 《転》協調, 協力	音乐会	콘서트, 음악회, 연주회	5	0
825	kondamni	scope_ko:8	{Ｂ}［他］【法】刑を宣告する, 有罪とする; 非難する, とがめる	宣判（有罪）；谴责，非难	유죄 판결을 내리다	0	8
826	kondiĉo	scope_ko:6	{Ｂ}条件; 約定; 状態, 環境	（必要的）条件；条款	조건, 필요한 요건	0	6
827	konduki	balanced	{Ｂ}［他］導く, 連れて行く, 案内する; 至る, 通じる; 指揮する; 運転する, =stiri; =〜ti	带领，引导；驾驶；导致	이끌다, 안내하다; 운전하다; (결과를) 초래하다	1	1
832	konfidi	scope_ko:8	{Ｂ}［他］信頼する（託す）, 信用する; （信頼して）委託する, 預ける; （内密に）打ち明ける	信任，信赖，委托，吐露	신뢰하다	0	8
833	konfirmi	scope_ko:6	{Ｂ}［他］確認する, 立証する; 認める, 追認する; =〜acii	确认，证实；批准，认可	사실이나 내용을 확인하다	0	6
