idx	Esperanto	Column	Old	New	Reason
1602	skalo	Korean_Trans	눈금, 척도	눈금, 척도, 축척; (비유) 규모; (음악) 음계	語義不足（縮尺/規模/音階）を補完。
1605	sklavo	Chinese_Trans	奴隶，奴才	奴隶；（转）受奴役者，俘虏	不自然語を避けて語義を中立化。
1617	sola	Chinese_Trans	独自的；唯一的	唯一的；单独的，孤身的	語義を自然化（alone義補完）。
1617	sola	Korean_Trans	하나뿐인, 유일한	하나뿐인, 유일한; 혼자의, 단독의	alone義を補完。
1624	sonĝi	Chinese_Trans	梦见	做梦；梦见	語義不足（夢を見る）を補完。
1629	sovaĝa	Korean_Trans	야생의	야생의; 미개한; 거칠고 야만적인	語義不足（未開/粗野）を補完。
1634	spegulo	Chinese_Trans	镜子	镜子；（转）反映，写照	転義（反映）を補完。
1634	spegulo	Korean_Trans	거울	거울; (비유) 반영, 비춤	転義（反映）を補完。
1635	sperta	Korean_Trans	경험 많고 숙련된 사람	경험이 많고 숙련된	品詞整合（形容）を是正。
1641	sporto	Chinese_Trans	体育运动和游戏	体育运动，竞技	不自然表現を自然化。
1641	sporto	Korean_Trans	스포츠	스포츠, 운동 경기	語義を補強。
1644	stacio	Chinese_Trans	车站；站，台，局	车站；站、局、所（设施）；保养地，驻地	語義不足（施設/保養地）を補完。
1644	stacio	Korean_Trans	역, 정거장	역, 정거장; 방송국·전화국·관측소 등 시설	語義不足（局/所）を補完。
1651	stato	Chinese_Trans	境况，状态；地位	状态，情形；地位，身份；（化）态（固/液/气）	化学義を補完。
1651	stato	Korean_Trans	사물이나 사람의 상태, 형편	상태, 형편; 지위, 신분; (화학) 상(고체·액체·기체)	語義不足（身分/化学態）を補完。
1660	streĉi	Chinese_Trans	拉紧，张紧；拉，压，扭	拉紧，绷紧；使紧张；（转）施加压力	不自然語を整理し転義を補完。
1660	streĉi	Korean_Trans	줄이나 근육을 팽팽하게 하다	줄·근육 등을 팽팽하게 하다; 긴장시키다; (비유) 압박하다	語義不足（緊張/圧迫）を補完。
1666	sub	Chinese_Trans	在…下	在…下面；以…形式/名义；按照，根据	前置詞用法を補完。
1666	sub	Korean_Trans	아래에, 밑에	…의 아래에; …의 형태/명의로; …에 따라	前置詞用法を補完。
1668	subjekto	Chinese_Trans	主语；主体，自我；病人，受验者	主题，论题；（语）主语；（哲）主体	不要義（病人）を除去し自然化。
1679	sumo	Chinese_Trans	和数，总合；钱数；概要	总和，合计；总额；（数）和；（学）集大成	誤訳気味語（概要）を是正。
1679	sumo	Korean_Trans	합계, 총액	합계, 총액; (수학) 합; (학문) 집대성	語義不足（数学/集大成）を補完。
1685	surda	Chinese_Trans	聋；《转》不理会	聋的；（转）充耳不闻；（转）听不清的，微弱的	語義不足（かすかな）を補完。
1685	surda	Korean_Trans	귀가 들리지 않는, 《전》귀 기울이지 않는	귀가 들리지 않는; (비유) 귀 기울이지 않는; 잘 들리지 않는, 희미한	語義不足（聞き取りにくい）を補完。
1687	surprizi	Korean_Trans	남을 놀라게 하다	남을 놀라게 하다; 불시에 덮치다, 기습하다	語義不足（不意打ち）を補完。
1695	tablo	Chinese_Trans	桌，台	桌子，台；餐桌；（转）饭桌，饮食	語義不足（食卓/転義）を補完。
1695	tablo	Korean_Trans	탁자, 식탁	탁자, 식탁; (비유) 밥상, 식사 자리	語義不足（食卓の転義）を補完。
1697	tago	Korean_Trans	하루	하루; 낮, 낮시간	語義不足（日中）を補完。
