idx	Esperanto	Column	Old	New	Reason
41	adapti	Chinese_Trans	适应，配（合），改编；装配	适应，使适应；改编	“装配”は語義ずれのため除去。
45	administri	Chinese_Trans	管理	管理，经营，运营；主管行政	JAの「経営/運営/行政」義を補完。
48	adopti	Korean_Trans	아이를법적으로데려와자녀로삼다	아이를 법적으로 데려와 자녀로 삼다; (전) 채택하다	スペース修正＋転義（採用）補完。
50	adreso	Korean_Trans	주소, 받는 이의 이름；（컴퓨터） 주소	주소, 받는 이의 이름; (컴퓨터) 주소	句読点を韓文表記に統一。
59	agi	Chinese_Trans	行动；对待	行动，行事；起作用	“作用する”義を補完。
69	akompani	Chinese_Trans	陪同，伴随，护送	陪同，伴随；（乐）伴奏	JAの伴奏義を補完。
72	aktiva	Chinese_Trans	有能力的，有作用的；积极的，活动的；有效，特效	活动的，积极的；现役的；（语）能动的	過剰で不自然な語義を整理しJAに整合。
73	akto	Chinese_Trans	[戏剧]幕，证书，契约，法令，条例	（戏剧）幕；（法）证书，文书	法令等の過剰義を除去。
75	aktuala	Chinese_Trans	当前的，热门的，时事性的	当前的，现行的，最新的	JAの「現行/最新」に合わせ修正。
77	akuzi	Korean_Trans	법적고소하다	비난하다; (법) 고소하다	スペース崩れ修正＋一般義（非難）補完。
79	al	Korean_Trans	향하는 대상	…에게, …으로, …로	前置詞の実用的訳へ修正。
82	alia	Korean_Trans	다른, 또 하나의；（대명사） 다른 사람/것	다른, 또 하나의; (대명사) 다른 사람/것	句読点を統一。
87	alterni	Korean_Trans	번갈아일어나다, 교대하다	번갈아 일어나다, 교대하다	スペース崩れ修正。
90	amara	Chinese_Trans	苦味，枯涩；痛苦，辛酸，辛辣；刺人的，严厉	苦的；辛酸的，严酷的	過剰・不自然な語義を整理。
94	ambaŭ	Chinese_Trans	两者（代词/副词）	两者的；两者；两者都	形容詞・代名詞・副詞の3用法を補完。
99	anaso	Chinese_Trans	鸭属鸟类	鸭，家鸭	一般語として自然化。
