row_index	Esperanto	column	before	after
2205	kopii	Chinese_Trans	复制，抄写	复制，抄写，临摹；（计）拷贝；（摄影）翻印、加洗
2205	kopii	Korean_Trans	베끼거나 복사하다	베끼다, 복사하다; (정보) 복사(카피)하다; (사진) 인화·추가 인화하다
2213	lanĉi	Chinese_Trans	发射；推出（新产品）；[计] 启动	发射；推出（新产品）；（海）使下水；（计）启动
2213	lanĉi	Korean_Trans	발사하다; 출시하다; (정보) 프로그램을 실행하다	발사하다; 출시하다; (해사) 진수시키다; (정보) 프로그램을 실행하다
2227	manuskripto	Chinese_Trans	手稿	原稿，手写文书；抄本
2227	manuskripto	Korean_Trans	손으로 쓴 원고	원고; 손으로 쓴 문서; 사본
2244	motivo	Chinese_Trans	动机；[艺] 主题	动机，理由，依据；[艺/乐] 母题，主题
2244	motivo	Korean_Trans	어떤 행동을 하게 되는 동기, 이유	동기, 이유, 근거; (예술·음악) 모티프, 주제
2245	mozaiko	Chinese_Trans	马赛克	马赛克；（转）拼凑体；[植] 花叶病
2245	mozaiko	Korean_Trans	잘게 나눈 조각을 모아 만든 무늬	모자이크; (비유) 모은 짜깁기물; (식물) 모자이크병
2258	nulo	Chinese_Trans	零	零，零点；（转）无价值的人（或物）
2263	opozicio	Chinese_Trans	反对；反对派	反对，对立；反对派，野党；[天] 冲；[理] 逆位相
2263	opozicio	Korean_Trans	정치적 반대, 야당	정치적 반대, 대립; 야당; (천문) 충; (물리) 역위상
2271	pasiva	Chinese_Trans	被动的；消极的	被动的，消极的；[语] 被动态的
2271	pasiva	Korean_Trans	수동적인	수동적인, 소극적인; (문법) 피동의
2288	produkti	Chinese_Trans	生产	生产，产出；制造，制作
2288	produkti	Korean_Trans	물건을 생산하다	생산하다, 산출하다; 제조하다, 만들어 내다
2291	protestanto	Korean_Trans	개신교 신자	개신교 신자; 항의자, 이의 제기자
2293	provizi	Chinese_Trans	供应，供给	供应，供给，提供；储备；装备
2293	provizi	Korean_Trans	공급하다, 제공하다	공급하다, 제공하다; 비축하다; 갖춰 두다, 장비하다
2297	purpuro	Chinese_Trans	紫红色	紫红色；紫袍（王侯、高僧所穿）；[医] 紫癜
2297	purpuro	Korean_Trans	붉은 기가 도는 자주색	붉은 기가 도는 자주색; 자색 예복; (의학) 자반병
2298	racia	Chinese_Trans	理性的	理性的，合理的
