idx	Esperanto	Column	Old	New	Reason
1000	lojala	Chinese_Trans	忠诚，忠实；诚实，正直	忠诚，忠实；诚实，公正	公正義を補完。
1003	loto	Chinese_Trans	签，阄	抽签，签；（转）运气	転義（運）を補完。
1005	ludi	Chinese_Trans	玩，游戏；演奏	玩，游戏；演奏；扮演（角色）	ludi の多義を補完。
1009	luli	Chinese_Trans	摇孩子入睡；轻轻摆动（摇动）	摇晃使入睡；轻轻摇动；（转）安抚	転義（なだめる）を補完。
1010	lumi	Chinese_Trans	发光	发光；（转）容光焕发	転義（顔が輝く）を補完。
1017	majstro	Chinese_Trans	师傅；专家，大师	大师，巨匠；（史）行会师傅；（敬称）大先生	歴史義・敬称義を補完。
1030	mantelo	Chinese_Trans	披风，斗篷；外套	披风，斗篷，外套；（建）壁炉架；（转）遮蔽物	建築義・転義を補完。
1034	marko	Chinese_Trans	记号；商标；（货币）马克	记号，标志，标记；硬币、筹码；商标，品牌；（体）起跑线；（货）马克	語義をJAに整合。
1035	maro	Chinese_Trans	海	海；（月面）“海”；（转）广阔之物	比喩義を補完。
1036	martelo	Chinese_Trans	锤子，榔头	锤子，榔头；（解）锤骨	解剖義を補完。
1045	materialo	Chinese_Trans	材料，物资；器材，设备	材料，原料，资材；器材，设备；（转）资料，数据，题材	資料/題材義を補完。
1046	materio	Chinese_Trans	物质	物质，物体；（哲）质料	哲学義を補完。
1049	matura	Chinese_Trans	成熟；成年；（票据等）到期的	成熟；（转）深思熟虑的；（商）到期的	商業義を明確化。
1050	maĉi	Chinese_Trans	（咀）嚼，（像咀嚼似的）体会	咀嚼，嚼碎；（转）反复琢磨	不自然訳を自然化。
1057	mekanismo	Chinese_Trans	机械原理；机器构造	机械装置，机构；构造，机制；（艺）技巧	技巧義を補完。
1060	membro	Chinese_Trans	成员，会员；（解）肢体（手脚等）	成员，会员；组成部分；（解）肢体（手脚等）	構成要素義を補完。
1060	membro	Korean_Trans	구성원; (신체) 사지(손·발)	구성원; 구성 요소; (신체) 사지(손·발)	構成要素義を補完。
1076	mezuri	Chinese_Trans	量，测量	测量；量尺寸；（转）衡量，评价	転義（評価）を補完。
1080	migri	Chinese_Trans	漫游，远游；流浪，迁徙	迁移，迁徙；移居；（鸟等）迁飞	渡り義を補完。
1081	miksi	Chinese_Trans	使混合；配置，调制	混合，掺和；（转）混同	転義（混同）を補完。
1086	militi	Chinese_Trans	作战	作战，打仗，交战	語義を補強。
1088	mineralo	Chinese_Trans	矿物（质）	矿物；无机物；矿物质	無機物義を補完。
1090	ministerio	Chinese_Trans	部，部委机关	（政府）部，部委机关，部级机构	語義を補強。
1099	modelo	Chinese_Trans	模型，原型，范例；（人物）模特；（学）理论模型	模型，原型，范例；（人）模特；（学）理论模型	人モデル義を補完。
