row	esperanto	flags	Japanese_Trans	Chinese_Trans	Korean_Trans	score_zh	score_ko
901	krom	scope_zh:8|scope_ko:8	{Ｂ}［前］～のほかは（～を除いて）; ～のほかにも（～を含めて）	除了	어떤 대상을 제외하고	8	8
902	krono	scope_ko:6	{Ｂ}冠, 王冠; （栄誉の印としての）花冠, 栄冠; 王権, 王位; 冠状のもの / 【貨】クローネ（デンマーク・スウェーデンなどの通貨）	花冠，冕，王冠；冠状物；（货币）克朗	왕관；（화폐） 크로네	0	6
903	kroĉi	scope_ko:6	{Ｂ}［他］掛ける, ひっ掛ける; 強くつかむ	（用钩）悬挂；抓住，固定	갈고리로 걸다, 매달다	0	6
904	kruco	scope_ko:8	{Ｂ}【宗】十字架; はりつけ台; 十字形のもの; 《転》苦難	十字架，十字标记、符号、物品	십자가	0	8
905	kruda	scope_ko:6	{Ｂ}生の, 未加工の; 粗野な, 荒々しい	生的，天然，未加工的，粗鲁	익히지 않은 날것의, 가공 전의	0	6
906	kruela	balanced	{Ｂ}残酷な, むごい; 厳しい, 悲惨な	残忍，残暴；惨痛，悲惨	잔인한, 무자비한	1	1
908	krusto	scope_ko:5	{Ｂ}（パン菓子などの）硬い皮, 外皮; （一般に）物の硬い表面, 殻; （傷の）かさぶた	硬外皮，甲壳，外壳	딱딱하게 굳은 겉껍질, 껍데기	0	5
911	kubo	balanced	{Ｂ}【数】立方体; 【数】立方; サイコロ, =ĵet〜; 立方形の物	立方体；（菜）丁；立方	정육면체 모양의 입체	1	1
912	kubuto	balanced	{Ｂ}【解】ひじ; 《転》曲がり角, 屈曲部; 【機】エルボ（管）, Ｌ字継手	肘；弯头，弯管接头	팔꿈치; 굽은 부분; (기계) 엘보관	1	1
921	kulturi	scope_ko:6	{Ｂ}［他］（才能などを）育てる; （人を）啓発する, 開化する; =kultivi（耕作する・栽培する）	耕种，栽培；培养	사람의 정신과 교양을 높이도록 기르다	0	6
922	kun	balanced	{Ｂ}［前］～と共に, ～と一緒に; ～と, ～に対して; ～を連れて, ～を持って; ～と同時に, ～しながら	和…一起	함께, 같이; 동반·동시에 있음을 나타내는 말	1	1
924	kupono	scope_zh:6	{Ｂ}クーポン（券）, 切符の半券; 【経】利札（りさつ）	息票；联单	쿠폰, 반권, 【경제】이표	6	0
931	kurso	scope_ko:8	{Ｂ}講座, 講習会, 課程; コース, 道順, 路線	课程，讲习班；航线	강좌나 강습 따위의 교육 과정	0	8
937	kuŝi	balanced	{Ｂ}［自］横たわっている, （水平に）置かれている; （異性と）寝る; 《転》位置する, 存在する, ある	躺；（水平地）放置；位于，处于	누워 있다, （수평으로） 놓여 있다, 《전》위치하다	1	1
939	kvalito	scope_ko:6	{Ｂ}質, 品質, ><〜; 特性, 特質	特质，性质，质量，资质	사물이나 사람의 특성	0	6
949	labori	scope_zh:6|scope_ko:6	{Ｂ}［自］働く, 労働する, 仕事する, 勤める; 勉強する; 精を出す; （機械が）作動する	工作，劳动	일하다, 노동하다	6	6
950	laca	scope_ko:5	{Ｂ}疲れた, くたびれた; 《転》飽き飽きした	疲劳，累；厌倦	피곤하고 지친 상태	0	5
953	lakto	scope_ko:5	{Ｂ}乳, 牛乳; 乳状の液	奶，乳汁	젖, 우유	0	5
963	lasta	scope_zh:5|scope_ko:5	{Ｂ}最後の, 最終の, 後者の; 最近の, 最新の, 直前の, この前の; 最下位の, 最低の	最后；最近	마지막의, 최후의	5	5
965	laŭ	scope_ko:8	{Ｂ}［前］～に沿って, ～に従って, ～によって	沿着；按照	기준이나 원칙에 따라	0	8
967	laŭta	scope_ko:5	{Ｂ}大声の, 声高な, 高く響く, 騒がしい; 《転》派手な, 目立つ	大声，响亮	소리가 큰, 시끄러운	0	5
968	leciono	scope_ko:8	{Ｂ}授業, けいこ, レッスン; 学課, 課業; （教科書の）課; 教訓, 戒め	课，功课	학교에서 듣는 수업이나 강의	0	8
970	legi	balanced	{Ｂ}［他］読む, 音読する; 読み取る, 解読する; 【情】読み取る	读	읽다, 글을 해독하다	1	1
973	leki	scope_ko:5	{Ｂ}［他］なめる; 《転》へつらう	舔，舐；拍…马屁	혀로 핥다	0	5
977	lerta	scope_ko:5	{Ｂ}器用な, 巧みな, 上手な; 敏捷な, すばしこい	灵巧，熟练，敏捷；机灵；精巧	솜씨 좋고 능숙한	0	5
979	levi	scope_ko:6	{Ｂ}［他］上げる, 持ち上げる, 拾い上げる; 立てる, 起こす; 《転》高める, 出す	（举、抬、提）起；提高，提拔	들어 올려 위로 높이다	0	6
980	leĝo	scope_ko:6	{Ｂ}【法】法律, 法, 法規; おきて, 戒律, 律法; 【理】法則	法律，准则，法则	국가가 정한 강제력 있는 법이나 규범	0	6
982	libera	balanced	{Ｂ}自由な; 独立の, 束縛されない, 免れた; ひまな, 空いている, 広々した	自由	자유롭고 구속이나 제약이 없는 상태	1	1
985	lifto	scope_ko:5	{Ｂ}エレベーター, 昇降機; 【海】（帆桁の）つり綱	电梯	사람을 층간에 나르는 승강기	0	5
986	ligi	scope_ko:6	{Ｂ}［他］結ぶ, 縛る, つなぐ; 結び合わせる; 《転》束縛する; 関係づける; 団結させる	绑，连，联	묶다, 연결하다	0	6
988	lilio	style_ko:4	{Ｂ}【植】ユリ（属）（百合）	百合属植物	백합속식물	0	4
989	limo	scope_ko:8	{Ｂ}境界, 境, 端, 果て; 国境; 限界, 限度, 極限; 期限	分界线；范围	경계선	0	8
991	linio	balanced	{Ｂ}線, 境界線, すじ; 列, 並び, 系統; （文字の）行; 【数】線; 【交】路線; 【運】ライン	线；列，系统；行；路线	선, 줄, 행, 노선, 계통	1	1
992	lipo	scope_ko:5	{Ｂ}唇; 《転》口; 【植】唇弁（しんべん）	唇	입술	0	5
995	litero	scope_zh:8	{Ｂ}文字, 字; 【印】活字, >>ideografiaĵo; 字句, 文面	字母	글자, 문자	8	0
998	liveri	scope_ko:5	{Ｂ}［他］配達する, 届ける, 引き渡す, 納品する; 供給する	交货，交付；供给，提供	물건을 배달하거나 인도하다	0	5
