row	esperanto	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
301	densa	scope_zh:10|scope_ko:11	10	11	{Ｂ}濃い, 濃密な; 密集した, 密生した; 【写】（ネガが）濃い, 肉乗りのよい	密集，茂密，稠	빽빽하게 모인, 밀도가 높은
303	deponi	scope_ko:9	4	9	{Ｂ}［他］預ける, 預金する; 【情】（データを）保存する, =sekurigi	寄存，存放；储蓄，存储	돈이나 물건을 맡기다
306	desegni	scope_ko:9	5	9	{Ｂ}［他］描く, 素描する, デッサンする; デザインする, 設計図をひく, 製図する; 《転》輪郭を示す	画出轮廓，勾画；设计，制图	선으로 그리다, 설계하다
308	determini	scope_ko:9	4	9	{Ｂ}［他］確定する, 定める; 測定する; 【Ｇ】限定する	确定，规定；限定，限制，修饰	정하다, 확정하다
317	difini	scope_zh:9|scope_ko:8	9	8	{Ｂ}［他］【学】定義する; 明確にする; 定める	下定义	정의하다, 뜻을 분명히 하다
322	dimensio	scope_zh:9|scope_ko:16	9	16	{Ｂ}寸法; 【数】次元; 【理】（物理量の）次元; 《転》規模, 広がり	大小，尺寸；维数；量纲	물체의 크기나 차원
324	direktoro	scope_ko:8	6	8	{Ｂ}管理者, 長; 理事, 重役; （劇場・ホテルなどの）支配人	主任，经理，领导	기관이나 회사의 책임자
326	dis-	scope_zh:8|scope_ko:8	8	8	{Ｂ}［接頭辞］（分離・分散を示す）, >>〜doni, >>〜rompi	分散	분리·분산을 나타내는 접두사
327	disko	scope_zh:18|scope_ko:17	18	17	{Ｂ}円盤; 【運】円盤; 【楽】レコード盤; 【情】ディスク, （特に）ハードディスク, >>dur〜	铁饼，唱片，盘状物；（计）磁盘	원반; 레코드판; (정보) 디스크
328	diskuti	scope_zh:13|scope_ko:13	13	13	{Ｂ}［自］討議する, 議論する, >>debati, >>〜, >>polemiki	讨论	의견을 주고받으며 토론하다
329	disponi	scope_ko:8	4	8	{Ｂ}［他］自由に使う, 処理する; ［自］処置をとる; =dispozicii	（自主）处理、支配或决定；处置	마음대로 사용하거나 처분하다
330	disputi	scope_zh:8|scope_ko:9	8	9	{Ｂ}［自］口論する, 言い争う, >>〜, >>konflikti	争论，争辩	격렬히 논쟁하거나 논박하다
333	distri	scope_zh:8|scope_ko:10	8	10	{Ｂ}［他］気を散らす, >>malatentigi; 気晴らしをさせる, >>malstreĉi	使…分心；使消遣	주의를 딴 데로 돌리게 하다, 기분을 전환시키다
335	diveni	scope_zh:11|scope_ko:13	11	13	{Ｂ}［他］見抜く, 言い当てる, 推察する, >>〜, >>〜; 予知する, 占う	猜；猜测	짐작하여 알아맞히다, 추측하다
337	dividi	scope_zh:9|scope_ko:15	9	15	{Ｂ}［他］分ける, 分割する, 区切る; 分け与える, 分配する; 分け合う; 【数】割る	分；分配；[数学]除	나누다
338	do	scope_zh:15|scope_ko:19	15	19	{Ｂ}［接］だから, すると, それでは, そこで, >>sekve, >>〜; ［副］（疑問文を強めて）いったい全体; （命令文を強めて）さあ, ほら / {Ｏ}［文字名］ドー（文字D，dの名称）	（接）所以，那么；（副）究竟，到底	그래서, 그러면을 나타내는 접속사
339	dogano	scope_ko:8	6	8	{Ｂ}関税, =limimposto, >>akcizo; 税関	关税；海关	관세, 세관
344	domo	scope_zh:12|scope_ko:11	12	11	{Ｂ}家, 家屋; =〜; 建物, ビル; （貴族の）家系	房屋	집, 건물
349	dorso	scope_ko:8	7	8	{Ｂ}背, 背中; 背部; 裏, 後ろ	背，背面	사람이나 동물의 등
