idx	Esperanto	Column	Old	New	Reason
1502	rimedo	Chinese_Trans	手段，方法	手段，方法；对策，补救办法	語義不足（対策/救済）を補完。
1509	ripozi	Chinese_Trans	休息	休息；躺下歇息；（亡者）安息	語義不足（横たわる/永眠）を補完。
1509	ripozi	Korean_Trans	휴식하다, 쉬다	휴식하다, 쉬다; 누워 쉬다; (사망자가) 안식하다	語義不足（横たわる/永眠）を補完。
1516	robo	Chinese_Trans	无袖长衫，长袍；（妇幼）长外衣，连衣裙，长罩衫	长袍，礼服，法袍；（女式）连衣裙	不自然訳を自然化。
1520	rompi	Chinese_Trans	打破，毁坏	打破，毁坏；折断，弄破；断绝（关系）；（转）打破（常规/记录）	語義不足（断絶/転義）を補完。
1520	rompi	Korean_Trans	깨뜨리다, 부수다	깨뜨리다, 부수다; 끊다, 단절하다; (비유) 틀·기록을 깨다	語義不足（断絶/転義）を補完。
1524	rozo	Chinese_Trans	蔷薇；（建）玫瑰窗	蔷薇，玫瑰；（建）玫瑰窗；（罗盘）方位盘	語義不足（一般義/方位盤）を補完。
1524	rozo	Korean_Trans	장미; (건축) 장미창	장미; (건축) 장미창; (나침반) 방위판	語義不足（方位盤）を補完。
1530	sabato	Chinese_Trans	星期六	星期六；（犹太教）安息日	語義不足（安息日）を補完。
1530	sabato	Korean_Trans	토요일	토요일; (유대교) 안식일	語義不足（安息日）を補完。
1531	sablo	Chinese_Trans	沙，砂	沙，砂；（医）尿砂	医療義を補完。
1538	salo	Chinese_Trans	盐，食盐	盐，食盐；（化）盐类；（转）机智风趣	化学義・転義を補完。
1538	salo	Korean_Trans	소금, 식염	소금, 식염; (화학) 염; (비유) 재치	化学義・転義を補完。
1540	salti	Chinese_Trans	跳	跳，跳跃；飞快跃过；（转）骤增	語義不足（飛び移る/転義）を補完。
1540	salti	Korean_Trans	뛰어오르다, 도약하다	뛰어오르다, 도약하다; 뛰어넘다; (비유) 급증하다	語義不足（飛び移る/転義）を補完。
1543	sana	Chinese_Trans	健康；未变质	健康的，健全的；（食品）未变质的	語義を品詞に合わせて自然化。
1543	sana	Korean_Trans	건강한, 병이 없는	건강한, 병이 없는; (비유) 건전한	語義不足（健全）を補完。
1545	sango	Chinese_Trans	血；血统	血，血液；血统；（转）热血，血气；（转）流血，杀伤	語義不足（血気/流血）を補完。
1545	sango	Korean_Trans	피, 혈액	피, 혈액; 혈통; (비유) 혈기, 유혈	語義不足（血統/血気）を補完。
1549	savi	Chinese_Trans	救，挽救	救，挽救；保护，保全	語義不足（保全）を補完。
1549	savi	Korean_Trans	위험에서 구해내다, 목숨을 구하다	위험에서 구해내다, 목숨을 구하다; 파괴에서 지켜 보전하다	語義不足（保全）を補完。
1552	sceno	Chinese_Trans	舞台，场，场次	舞台；场面，情景；（戏剧）场，场次	語義不足（場面/光景）を補完。
1553	scienco	Chinese_Trans	科学；自然科学	科学，学问；自然科学	語義不足（学問）を補完。
1554	scii	Chinese_Trans	知道，了解	知道，了解；懂得，会（做）	語義不足（心得る）を補完。
1554	scii	Korean_Trans	사실이나 정보를 알다	사실이나 정보를 알다; (방법·기술을) 할 줄 알다	語義不足（心得る）を補完。
1558	seka	Chinese_Trans	干；无味，无作料的	干燥的，干的；无味的，寡淡的；（转）枯燥的，冷淡的	語義不足（転義）を補完。
1558	seka	Korean_Trans	마른, 물기 없는, 건조한	마른, 물기 없는, 건조한; (비유) 무미건조한, 냉담한	語義不足（転義）を補完。
1559	sekcio	Chinese_Trans	组，科，室，股，处	组，科，室，处（部门）；（文书）节，段；（路线等）区间	語義不足（節/区間）を補完。
1565	sekvi	Chinese_Trans	跟随；遵循	跟随，尾随；遵循；随后发生；（谈话/论证）跟得上	語義不足（後に続く/追随理解）を補完。
1565	sekvi	Korean_Trans	뒤따르다, 따라가다	뒤따르다, 따라가다; 따르다, 준수하다; 이어서 오다; (논의를) 따라가다	語義不足（後に続く/追随理解）を補完。
1567	semo	Chinese_Trans	种子	种子；（转）根源，种子；（古）精液	語義不足（転義/古義）を補完。
1585	seĝo	Chinese_Trans	椅子	椅子；座位，席位	語義不足（座席/議席）を補完。
1585	seĝo	Korean_Trans	의자	의자; 좌석, 의석	語義不足（座席/議席）を補完。
1596	simpla	Chinese_Trans	单一；简单	单纯，简单；单一的；朴素的，不加修饰的	語義不足（簡素/素朴）を補完。
1596	simpla	Korean_Trans	단순한, 간단한	단순한, 간단한; 단일한; 소박한	語義不足（単一/簡素）を補完。
