row_index	column	before	after
2700	Korean_Trans	조립하거나 설치하다	조립하거나 설치하다; (영상) 편집하다
2704	Korean_Trans	반드시 필요한	절대 필요한, 반드시 해야 하는; 피할 수 없는
2711	Korean_Trans	수술하다	수술하다; (군사) 작전을 수행하다
2718	Korean_Trans	직각, 수직인 상태	직각
2719	Chinese_Trans	卵形线，卵形	椭圆形，卵形
2726	Korean_Trans	평행선	평행선; 유사성
2732	Korean_Trans	기차역 승강장, 플랫폼	기차역 승강장, 플랫폼; (고어) 현관 포치
2741	Korean_Trans	식물	식물; 작물
2744	Korean_Trans	성년, 어른	성년의, 법정 연령에 이른
2748	Korean_Trans	물에 뛰어들다, 다이빙하다	물에 뛰어들다, 다이빙하다; 급강하하다
2760	Korean_Trans	절; 명제	(문법) 절, 문; 명제
2779	Korean_Trans	보상	보상, 보수; 상
2786	Korean_Trans	예비, 비축	예비, 비축; 보류
2789	Korean_Trans	드러내다, 폭로하다	드러내다, 폭로하다; (사진) 현상하다
2794	Korean_Trans	금속의 녹	금속의 녹; (식물) 녹병
