row_index	column	before	after
2110	Chinese_Trans	背景；[理] 方（响度单位）	背景；底子；[理] 方（响度级单位，phon）
2113	Chinese_Trans	运气，幸运	运气，幸运；命运
2113	Korean_Trans	행운	행운, 운명
2142	Korean_Trans	개막식·취임식 등 공식식을 거행하다	개막식·취임식 등 공식식을 거행하다; (비유) 시작하다
2144	Chinese_Trans	指数，指标	指数，比率；（数）下标
2159	Chinese_Trans	[医] 癌；[天] 巨蟹座	[医] 癌；[植] 瘿瘤；[动] 一种蟹（属）
2159	Korean_Trans	암; (천문) 게자리(황도12궁)	암; (식물) 혹·종양; (동물) 게의 한 속
2162	Chinese_Trans	商队	商队；旅行团
2162	Korean_Trans	대상(隊商)	대상(隊商); 여행단
2164	Chinese_Trans	牢房，禁闭室	牢房，禁闭室；监狱，拘留所
2164	Korean_Trans	감옥의 독방, 감방	독방, 감방; 감옥, 구치소
2172	Chinese_Trans	分类	分类；（铁路）调车编组
2172	Korean_Trans	분류하다	분류하다; (철도) 차량을 입환하다
2176	Chinese_Trans	法典；代码	法典；符号、密码；[计] 代码
2178	Chinese_Trans	香肠	香肠；（建筑）火药导火囊
2178	Korean_Trans	소시지	소시지; (건축) 화약 도화낭
2183	Korean_Trans	논평하다	논평하다, 해설하다
2185	Korean_Trans	복잡한	복합적인, 복잡한; (수학) 복소수의
2187	Chinese_Trans	恭维，赞美	恭维，赞美；礼节性问候
2187	Korean_Trans	칭찬이나 아첨의 말	칭찬·아첨의 말; 의례적 인사
2191	Chinese_Trans	冲突	冲突，矛盾，纷争
