row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
601	601-700	hieraŭ	{Ｂ}［副］きのう, 昨日	昨天	어제
602	601-700	higieno	{Ｂ}衛生学; 衛生	卫生，卫生学	위생, 위생학
603	601-700	himno	{Ｂ}【宗】賛美歌; 賛歌	圣歌，赞美诗	찬송가, 성가
604	601-700	hirundo	{Ｂ}【鳥】ツバメ（属）; =dom〜	燕属鸟类	제비
605	601-700	historio	{Ｂ}歴史; 歴史学; 沿革, 来歴; 画期的な事件; 物語, 話	历史；故事	역사, 지나온 과정
606	601-700	hodiaŭ	{Ｂ}［副］きょう; 今日（こんにち）では	今天	오늘
607	601-700	hoko	{Ｂ}鉤（かぎ）; 【機】フック; 釣り針, =fiŝ〜; 【運】（ボクシングの）フック	钩子，鱼钩	갈고리, 낚싯바늘; (권투) 훅
608	601-700	homo	{Ｂ}人, 人間; 【動】ヒト	人	사람, 인간
609	601-700	honesta	{Ｂ}正直な, 誠実な, 実直な; 公正な, 正当な, まともな, いつわりのない	正直，诚实	정직하고 성실한
610	601-700	honoro	{Ｂ}名誉, 面目; 栄誉, 光栄; 敬意, 尊敬	尊敬，荣誉	명예, 영예
611	601-700	honti	{Ｂ}［自］恥じる; 恥ずかしがる（対象・原因を伴う）	感到羞耻，害羞，羞愧	부끄러워하다, 수치심을 느끼다
612	601-700	hordeo	{Ｂ}【植】オオムギ（属）	大麦属植物；大麦粒	보리
613	601-700	horizonto	{Ｂ}地平線, 水平線; 《転》（思考・知識などの）視界, 範囲; 【地質】層準; 土壌の層位	地平线，水平线；眼界，见识	지평선, 수평선
614	601-700	horloĝo	{Ｂ}時計; 柱時計, 大時計	钟，表，计时器	시계
615	601-700	horo	{Ｂ}一時間; 時間, 時刻	小时；时刻，时间	한 시간, 시각
616	601-700	hospitalo	{Ｂ}病院, =malsanulejo; 【史】施療院	医院	병원
617	601-700	hotelo	{Ｂ}ホテル, 旅館	旅馆，饭店	호텔, 여관
618	601-700	humana	{Ｂ}人間的な, 人情味のある, 人道的な	人道，仁爱，仁慈	인간적이고 인도적인
619	601-700	humida	{Ｂ}湿った, 湿気のある, じめじめした, =malseketa	潮湿	습한, 축축한
620	601-700	humila	{Ｂ}謙虚な, 控えめな; 卑下した	自卑，谦逊	겸손한, 겸허한
621	601-700	humoro	{Ｂ}気質; 気分, 機嫌; 《古》（人の性格を左右するとされた）体液（ユーモアを表す別語とは区別）	性情，情绪，气质	사람의 기분이나 감정 상태, 성격적 기질
622	601-700	hundo	{Ｂ}【動】イヌ（犬）	狗	개
623	601-700	ia	{Ｂ}［形］ある種の, なんらかの（種類・性質）	某种的，某类的	어떤 종류의
624	601-700	ial	{Ｂ}［副］ある理由で, なぜか	因为某种缘故	어떤 이유로, 왜
625	601-700	iam	{Ｂ}［副］ある時, いつか（過去・未来）	某时，任何时候；曾经	어느 때엔가, 언젠가
626	601-700	idealo	{Ｂ}理想	理想，崇高目标	이상, 이상적
627	601-700	identa	{Ｂ}同一の; 同様の, そっくり同じの	完全一样，同样，没有差异	완전히 동일한, 똑같은
628	601-700	ideo	{Ｂ}観念; 考え, 思想; 思いつき, アイデア; 【哲】イデア; 【楽】楽想	观念，主意，理想	관념, 생각, 아이디어; (철학) 이데아
629	601-700	ie	{Ｂ}［副］どこかで, あるところに	某处，在某处	어딘가에서, 어떤 곳에
630	601-700	iel	{Ｂ}［副］どうにかして	用某种方法	어떻게든
631	601-700	ies	{Ｂ}［形］だれかの, ある人の	某人的	누군가의
632	601-700	ignori	{Ｂ}［他］（意図的に）無視する, 見ないふりをする, 知らないふりをする, >>〜	不理，无视，漠视	일부러 무시하다
633	601-700	ili	{Ｂ}［代］（三人称複数）彼ら, 彼女ら, それら	他（她、它）们	삼인칭 복수, 그들
634	601-700	ilustri	{Ｂ}［他］挿絵を入れる, 図解する; （例をあげて）説明する	插图，以图装饰	책 등에 그림을 넣어 설명하다
635	601-700	imagi	{Ｂ}［他］想像する, 思い描く	想象，设想	상상하다
636	601-700	imiti	{Ｂ}［他］まねる, 模倣する; 見習う; 模造する	摹仿，仿效，仿制	흉내 내다, 모방하다
637	601-700	imperio	{Ｂ}帝国	帝国	제국
638	601-700	impliki	{Ｂ}［他］もつれさせる, 絡めとる; 込み入らせる, 混乱させる; （事件に）巻き込む	缠住，使卷入，使陷入；制造困难	복잡한 일에 얽히게 하다, 연루시키다
639	601-700	importi	{Ｂ}［他］輸入する, >>〜	输入，进口	수입하다
640	601-700	imposto	{Ｂ}税, 税金	税	세금
641	601-700	impreso	{Ｂ}印象, 感銘; 感じ, 心地; 【写】感光	印象；感光	인상, 감명
642	601-700	imuna	{Ｂ}【医】免疫の; 【法】免除の; 【機】耐性のある	免疫的；免除某项法律责任的；抗…的，防…的	질병에 대한 면역이 있는
643	601-700	inciti	{Ｂ}［他］（刺激して）怒らせる, いらだたせる; 極度に興奮させる	激怒，逗弄，惹	화나게 하다, 자극해 흥분시키다
644	601-700	indiferenta	{Ｂ}どうでもいい, 重要でない; 無関心な, 平然とした	引不起兴趣的；冷漠	무관심하고 아무래도 좋은
645	601-700	indigni	{Ｂ}［自］（不正や卑劣な行為に対して）憤慨する, 憤る	愤慨，愤怒	부정·비열함에 분개하다
646	601-700	indiki	{Ｂ}［他］指し示す, 示す, 表す	指出，指示，表示	가리키다, 나타내다
647	601-700	individuo	{Ｂ}個人, 個; 【生】個体	个体，个人	개인
648	601-700	indulgi	{Ｂ}［他］容赦する, 大目に見る; 寛大に扱う, いたわる; 助命する	宽恕，纵容；不得罪，体谅	관대하게 용서하다, 너그럽게 봐주다
649	601-700	industrio	{Ｂ}産業, 工業	工业，产业	산업
650	601-700	infano	{Ｂ}（大人に対して）子供, 児童, 幼児; （親に対して）子	幼儿，儿童；孩子	어린아이, 아동
651	601-700	infekti	{Ｂ}［他］（人に）感染させる, 病気をうつす, >>kontaĝi; 《転》感化する	传染；感染	병을 옮기다, 감염시키다
652	601-700	infero	{Ｂ}【宗】地獄; 《転》修羅場, 生き地獄; 死後の世界, 冥界, >>Hadeso, >>Ŝeolo	地狱；（转）人间地狱；冥界	죽은 자가 가는 지하 세계, 지옥
653	601-700	influi	{Ｂ}［他］影響を与える, 感化する, 左右する	影响	영향을 주다
654	601-700	informi	{Ｂ}［他］通報する, 知らせる	通知，告诉，报告	소식이나 정보를 알리다
