idx	Esperanto	Column	Old	New	Reason
1201	okazi	Chinese_Trans	发生	发生；（活动）举行，举办	基本義のみ→行事開催義を補完。
1201	okazi	Korean_Trans	발생하다	일어나다, 발생하다; (행사 등이) 열리다	基本義のみ→行事開催義を補完。
1205	okupi	Korean_Trans	장소·지위 등을 차지하다, 점령하다	장소·지위 등을 차지하다, 점령하다; (사람을) 바쁘게 하다, 종사하게 하다	占有義のみ→「忙殺する/従事させる」義を補完。
1210	ondo	Chinese_Trans	波浪，浪潮	波，波浪；波状起伏；（物）波	物理義を補完。
1219	orelo	Chinese_Trans	耳朵	耳朵；耳状物；（转）听觉	聴覚・耳状物の義を補完。
1220	organizi	Chinese_Trans	组织	组织；筹备，举办	「組織する」に加え「準備/催す」義を補完。
1220	organizi	Korean_Trans	조직하다	조직하다; 준비하고 주최하다	「組織する」に加え「準備/催す」義を補完。
1221	organo	Chinese_Trans	器官；机构；机关报（刊）	器官，脏器；装置；机构；机关报（刊）	機械的「装置」義を補完。
1227	oro	Chinese_Trans	金，黄金；金钱，财富	金，黄金；（化）金；（转）财富；贵重之物	化学義・比喩義を補完。
1235	pagi	Chinese_Trans	付钱；偿还	付钱，支付；偿还；（转）付出代价，受报	転義（代償を払う）を補完。
1235	pagi	Korean_Trans	돈을 지불하다, 값을 치르다	돈을 지불하다; 갚다; (비유) 대가를 치르다	転義（代償を払う）を補完。
1243	pano	Korean_Trans	밀가루 반죽을 구운 빵	빵; (비유) 생계, 양식	転義（生計）を補完。
1246	papago	Chinese_Trans	鹦鹉属鸟类	鹦鹉；（转）学舌者	転義（受け売りする人）を補完。
1246	papago	Korean_Trans	앵무새	앵무새; (비유) 남의 말을 되풀이하는 사람	転義（受け売りする人）を補完。
1247	papero	Korean_Trans	종이	종이; 문서, 증서	文書・証書義を補完。
1252	parenco	Chinese_Trans	亲属，本家，亲戚	亲属，亲戚	不自然語（本家）を除去し中立化。
1253	parfumo	Korean_Trans	향수, 향기로운냄새	향수; 향기, 향내	韓国語の不自然連結を自然化。
1254	parko	Chinese_Trans	公园；临时汽车停放场	公园，大庭园，狩猎园；（军工）集积场；停车场	公園以外の語義（集積場/駐車場）を補完。
1254	parko	Korean_Trans	공원; (군사·공업) 집적지, 적치장; 주차장	공원, 큰 정원; (군사·공업) 집적지, 적치장; 주차장	公園以外の語義（集積場/駐車場）を補完。
1258	partio	Chinese_Trans	党，政党	党，政党；阵营，派别；（诉讼・合同）当事方；（游）一局，比赛	政党義のみ→当事者/勝負義を補完。
