row	batch	Esperanto	Japanese_Trans	Chinese_Trans	Korean_Trans
501	501-600	fortika	{Ｂ}堅固な, 頑丈な, 頑健な; 要塞化した	坚实，牢固，强健	견고한, 튼튼한
502	501-600	forĝi	{Ｂ}［他］鍛える, 鍛造する; 《転》鍛錬する, 鍛え上げる	锻打，锻造	쇠를 두들겨 모양을 만들다
503	501-600	fosi	{Ｂ}［他］掘る; 発掘する; 《転》（問題などを）掘り下げる	掘土，翻地；挖掘	땅을 파다, 발굴하다
504	501-600	fosto	{Ｂ}【建】柱; くい, 標柱, 電柱, >>〜, >>〜	立柱，桩，路标，电杆	기둥, 말뚝, 표지말뚝
505	501-600	frago	{Ｂ}【果】オランダイチゴ（実）; 《般》イチゴ（苺）	草莓	딸기
506	501-600	frakasi	{Ｂ}［他］音をたてて打ち砕く, ガラガラと壊す; 《転》撃破する, 打ちのめす	粉碎，打碎；摧毁，消灭	산산이 부수다
507	501-600	frandi	{Ｂ}［他］好んで食べる, 好きである, 賞味する, 味わう	享用美味	맛있게 즐겨 먹다
508	501-600	frapi	{Ｂ}［他］たたく, 打つ; たたいて音を出す; はっとさせる, 驚かす	敲打，拍打	세게 치거나 두드려 충격 주다
509	501-600	frato	{Ｂ}兄弟; （親しい）仲間; 【宗】ブラザー, =〜ulo	兄弟	형제, 남자 형제
510	501-600	frazo	{Ｂ}文, 文章; 美辞麗句; 【楽】楽句, フレーズ	句子；（空洞的）言词；【乐】乐句	문장, 【음악】악절, 프레이즈
511	501-600	fraŭlo	{Ｂ}未婚男性, 独身男性	未婚男子	미혼 남성, 총각
512	501-600	fremda	{Ｂ}異国の, 他国の; 見知らぬ, 見慣れない; 無縁の, よそ事の	外国的；陌生	외국의
513	501-600	freneza	{Ｂ}気の狂った; 気違いじみた, 無分別な; 我を忘れた	疯狂，失去理性的；荒诞	미친, 제정신이 아닌
514	501-600	freŝa	{Ｂ}生き生きした, 若々しい; 新鮮な, 生の; 真新しい, 最新の	新鲜，鲜嫩，新近	신선한
515	501-600	fripono	{Ｂ}ペテン師, 悪党	流氓，骗子	사기꾼, 악당
516	501-600	friti	{Ｂ}［他］【料】（油で）揚げる; いためる	油炸，煎	기름에 튀기다, 볶다
517	501-600	frizi	{Ｂ}［他］（髪を）カールする, パーマをかける	烫发	머리를 파마하다
518	501-600	fromaĝo	{Ｂ}【料】チーズ	干酪，乳酪	치즈
519	501-600	fronto	{Ｂ}正面, 前面; 【軍】最前線; 戦線; 【気】前線	前线；阵线；前面，正面	정면, 앞부분
520	501-600	frosto	{Ｂ}厳寒, 氷点下の寒気; 《転》ひどい寒け	严寒，冰冻；心寒	혹한, 얼 정도의 추위
521	501-600	froti	{Ｂ}［他］摩擦する, こする	摩擦	세게 문지르다
522	501-600	frukto	{Ｂ}【植】果実, 実（み）, >>drupo, >>〜, >>〜; くだもの; 《転》成果, 結果	果实；水果；（转）成果	과일, 열매; (비유) 성과
523	501-600	frunto	{Ｂ}額（ひたい）, 前頭部	前额	이마
524	501-600	fulmo	{Ｂ}【気】雷（かみなり）; 稲妻, 雷光; 《転》ひらめき	闪电	번개
525	501-600	fumo	{Ｂ}煙, 湯気; 《転》（煙のように）はかないもの	烟	연기
526	501-600	fundamento	{Ｂ}【建】基礎, 土台; 《転》基礎, 基本	基础，地基	기초, 토대
527	501-600	fundo	{Ｂ}底; 奥; 背景; 《転》どん底	底，深处，底部	밑바닥, 가장 깊은 곳
528	501-600	funebro	{Ｂ}死別の悲しみ, 哀悼; 喪, 喪服, 喪章, 喪中	哀悼；丧，服丧	죽음을 애도하는 슬픔
529	501-600	fungo	{Ｂ}【植】キノコ	真菌	버섯, 진균
