row	esperanto	verdict	target_column	suggested_minimal	reason	flags	score_zh	score_ko	Japanese_Trans	Chinese_Trans	Korean_Trans
1001	lojala	optional_low	Chinese_Trans|Korean_Trans	忠诚，忠实；诚实，正直 / 충성스러운, 충실한; 성실하고 정직한	ZH/KOとも概ね成立しているが、忠実・正直の軸を明示すると自然。	scope_zh:5|scope_ko:5	5	5	{Ｂ}忠義な, 忠実な; 誠実な, 公正な	忠诚，正直诚实	충성스럽고 성실한
1002	loko	optional_low	Chinese_Trans|Korean_Trans	地点，场所；地方，土地；（转）地位，立场 / 장소, 위치; 지역, 땅; (비유) 지위, 입장	ZH/KOとも場所義中心で、地方/立場の語義を補完可能。	scope_zh:6|scope_ko:6	6	6	{Ｂ}場所, 所; 部分, 個所; 地方, 土地; 《転》地位, 立場	地点，处所	장소, 사람이나 사물이 있는 곳
1006	ludi	keep	-	-	ZH/KOとも遊ぶ・演奏の核心義を保持。	balanced	1	1	{Ｂ}［自］遊ぶ, たわむれる, 自由に動く; ［他］（ゲームなどを）する, （必要な）動作をする; 【楽】演奏する; （役割を）演じる	玩，游戏；演奏	놀다, (게임·악기·역할을) 하다
1008	lukso	optional_medium	Chinese_Trans	奢侈；豪华，华美；（物理）勒克斯（照度单位）	ZHの「繁茂」は語義ずれの可能性が高く、lux語義を明確化。	word_choice_zh:9	9	0	{Ｂ}ぜいたく, 豪華, 華美 / 【理】ルクス（照度の単位）	奢侈；华丽，繁茂；（物理）勒克斯（照度单位）	사치, 호화로움；（물리） 럭스（조도 단위）
1010	luli	optional_low	Korean_Trans	아기를 재우려고 흔들다; 흔들어 달래다	KO語間スペース欠落を最小修正。	style_ko:4	0	4	{Ｂ}［他］（寝かしつけるために）揺する; 揺らす; 《転》なだめる	摇孩子入睡；轻轻摆动（摇动）	아기를재우려고흔들다
1013	luno	optional_low	Chinese_Trans	月亮；（天）卫星	ZHに衛星義を最小補完。	scope_zh:5	5	0	{Ｂ}【天】月; 衛星, >>〜	月亮	지구를 도는 유일한 위성
1015	magazeno	optional_medium	Chinese_Trans|Korean_Trans	仓库；大型商店；（枪/相机）弹匣、片盒 / 창고; 대형 상점; (총·카메라) 탄창·매거진	ZH/KOとも倉庫義中心で、弾倉・マガジン義が不足。	scope_zh:8|scope_ko:8	8	8	{Ｂ}（商品などの）倉庫; 大商店, 百貨店; （銃の）弾倉, （カメラの）マガジン	仓库，堆栈；百货公司	상품을 보관하는 창고
1017	majo	keep	-	-	ZH/KOとも月名訳として適切。	balanced	1	1	{Ｂ}５月	五月	5월
1018	majstro	optional_low	Korean_Trans	거장, 대가; (역사) 길드의 장인; (호칭) 대선생	KOで歴史的・敬称義を最小補完。	scope_ko:5	0	5	{Ｂ}巨匠, 大家; 【史】（ギルドの）親方; （敬称）大先生	师傅；专家，大师	어떤 분야의 대가, 거장
1019	maksimumo	optional_low	Korean_Trans	최대치, 최대한; (수학) 최대값	KOで数学義を補完。	scope_ko:5	0	5	{Ｂ}最大限, 最大量, 最高度, 最高値, 極限; 【数】最大, 極大, ><〜	最大量，最大数，最大限度	가능한 한도 가운데 가장 큼
